"","id","member_id","loan_amnt","funded_amnt","term_mnths","int_per","installment","grade","sub_grade","emp_title","emp_yrs","home_ownership","annual_inc","verification_status","issue_d","loan_status","desc","purpose","title","addr_state","dti","open_acc","revol_bal","revol_util_per","total_acc","total_pymnt","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","last_payment_due","issue_date","lpd_yr","iss_yr","paid_mths","unpaid_mths","future_value","credit_loss"
"8945",857547,1070018,24000,24000,60,17.49,603,"D","D5","maxim integrated products","10+","rent",60000,"verified","Aug-11","Charged Off","  Borrower added on 08/18/11 > Invest in family business that will offer new services (nails, pedicures,facials and tanning)<br/>","small_business","get it started","OR",8.96,4,323,7,17,3132,768,1036,0,1328,239,"Dec-11",603,2011-12-01,2011-08-01,"2011","2011",4,56,23232,32832
"8953",857376,1069827,8000,8000,60,20.99,216,"F","F3","chartis insurance","4","rent",72780,"not verified","Aug-11","Charged Off","  Borrower added on 08/19/11 > I have become short on cash due to unexpected living expenses. I need a loan in order to ensure I am able to pay for my medical expenses and my vehicle also needs repairs. I have done the research and it is a lot cheaper for me to repair the vehicle than to purchase a new one.<br/>","other","school","GA",7.42,8,9895,99.9,18,5626,2482,3126,0,19,0,"Nov-13",216,2013-11-01,2011-08-01,"2013","2011",27,33,5518,7307
"8960",857274,1069717,12000,12000,60,15.99,292,"D","D2","american airlines, inc","10+","rent",86400,"source verified","Aug-11","Charged Off","  Borrower added on 08/19/11 > I'm seeking this loan for the additional funds needed to purchase a automobile as well as pay off the balance of a out standing unsecured loan.<br/><br/>I have been gainfully employed with the same major corporation for over 20 years. I am a responsible adult who pays their bills on time and I never over extend myself. I am a very low risk.<br/><br/>FYI:  In the highly unlikely event I were to find myself unemployed, I would immediately have a position in a accounting firm working for a friend. I work at the firm each year during tax season and occasionally assist on the larger projects. He has asked me to work for him full time on multiple occasions and has given me a open invitation for employment with the firm at any time.. <br/><br/>Thank you in advance for your investment in me and for your time.<br/> Borrower added on 08/19/11 > The vehicle I plan to purchase is a lease return.  My friends mother is returning the car next month at the end of her lease.  I'm purchasing the vehicle for the balance due if purchased  on the lease agreement  It's a one owner, only driven on Sundays type of car. It's nearly perfect and the mileage is approximately 16,000.  It is a Mercedes Benz 2008 C300 Luxury.<br/>","car","secondloan","CA",8.94,10,4125,50.3,18,6351,3003,2831,0,516,5,"May-13",597,2013-05-01,2011-08-01,"2013","2011",21,39,8997,11067
"8962",857264,1069706,9000,9000,36,18.39,327,"E","E2","us army","4","rent",42000,"source verified","Aug-11","Charged Off","","debt_consolidation","debt consolidation ","NC",18.23,4,8225,97.9,11,1041,380,272,0,389,4,"Nov-11",327,2011-11-01,2011-08-01,"2011","2011",3,33,8620,10666
"8993",856675,1069060,4000,4000,36,9.99,129,"B","B1","philips respironics","4","rent",58800,"source verified","Sep-11","Charged Off","  Borrower added on 08/19/11 > Hi. Currently need some financing to pay of some bills. Will definitely pay off balance before the 3 years. thanks and have a nice day.<br/>","other","card consolidation","CA",24.14,11,12672,72,17,771,584,187,0,0,0,"Mar-12",129,2012-03-01,2011-09-01,"2012","2011",6,30,3416,3870
"9004",856790,1012470,12800,12800,36,14.79,442,"C","C4","missing","10+","rent",36000,"verified","Aug-11","Charged Off","  Borrower added on 08/24/11 > THANK FOR YOUR HELP.<br/>null Borrower added on 08/26/11 > A major personal expense is the reason I am requesting this loan. Thank you again for your help.<br/> Borrower added on 08/26/11 > Please keep helping.<br/>null","other","major expense","TX",8.47,5,688,11.5,7,8362,5683,2272,0,408,4,"Mar-13",442,2013-03-01,2011-08-01,"2013","2011",19,17,7117,7531
"9010",856680,1069065,15000,15000,36,17.99,542,"E","E1","james marine inc","10+","mortgage",65000,"verified","Aug-11","Charged Off","  Borrower added on 08/18/11 > I plan to pay off most of my debt, and put more into savings.... I pay all my bills on time!!!  Ive had this job since i got out of the USAF in 1998..<br/> Borrower added on 08/19/11 > I have a lot of credit card debt and that is what I want to pay off so I can plan for my retirement. A friend told me he used this service and it was a good experience so I decided to try it out. I work hard and I would like to pay off cc debt and  save more with lower interest rates. We only have 5 years left on our mortgage and would like to see a debt free future ahead.<br/>","debt_consolidation","just what we need","KY",14.6,9,10361,92.5,25,13986,8927,4206,0,853,148,"Feb-14",76,2014-02-01,2011-08-01,"2014","2011",30,6,6073,5543
"9016",856571,1068947,22000,22000,60,11.99,489,"B","B5","new york city police department","10+","mortgage",90000,"verified","Aug-11","Charged Off","  Borrower added on 08/19/11 > debt consolidation<br/>null Borrower added on 08/20/11 > debt consolidation<br/>","debt_consolidation","debt consolidation","NY",17.15,10,47399,76.3,15,8824,4641,3173,0,1010,10,"Jan-13",489,2013-01-01,2011-08-01,"2013","2011",17,43,17359,20447
"9019",856531,1068900,14500,14500,36,5.42,437,"A","A1","dch chrysler jeep dodge of temecula ","10+","mortgage",70000,"verified","Aug-11","Charged Off","","credit_card","reduction of interest  ","CA",8.73,8,66003,11.4,25,7471,6151,841,0,479,5,"Jan-13",437,2013-01-01,2011-08-01,"2013","2011",17,19,8349,8261
"9020",850095,1061880,5200,5200,60,11.49,114,"B","B4","usps ","1","mortgage",57000,"verified","Aug-11","Charged Off","  Borrower added on 08/19/11 > Thank you very much for all your help. This loan can do tremendous things for our home. I have been a hardworking and stable worker for the USPS for over 13 years now and with the generous compensation package they have awarded me I am fully capable of repaying the loan. Thanks again for all your help the house (fence, bathrooms, bedrooms) should be looking great in no time.<br/>","home_improvement","home improvement ","CA",0.32,7,889,7.5,16,1708,809,635,0,265,2,"Nov-12",200,2012-11-01,2011-08-01,"2012","2011",15,45,4391,5180
"9025",853176,1065333,3000,3000,36,15.62,105,"D","D1","at and t","<1","rent",51996,"source verified","Sep-11","Charged Off","","other","new apt.","CT",9.65,4,334,66.8,5,904,271,223,30,379,68,"Mar-12",105,2012-03-01,2011-09-01,"2012","2011",6,30,2729,2921
"9049",856070,1068377,21000,21000,60,16.89,521,"D","D4","gca services group","4","rent",37000,"verified","Aug-11","Charged Off","  Borrower added on 08/17/11 > I am requesting funding for a major purchase. My monthly expenses are rent $575., utilites (electric, cable, telephone andd garbage) approximately $110.00 and car insurance $60.00 per month. I have no car payments or credit cards.<br/>","major_purchase","major purchase","NY",6.29,4,118,11.8,30,9401,3740,4670,0,991,10,"Mar-13",301,2013-03-01,2011-08-01,"2013","2011",19,41,17260,21846
"9050",856073,1068380,10000,10000,36,5.42,302,"A","A1","archer & greiner","6","mortgage",50000,"not verified","Aug-11","Charged Off","","debt_consolidation","lending club","NJ",10.08,8,5382,19.4,28,2864,2082,328,0,455,4,"May-12",302,2012-05-01,2011-08-01,"2012","2011",9,27,7918,7969
"9051",856059,1068365,25000,25000,60,13.49,575,"C","C2","illinois state police","8","mortgage",108900,"source verified","Aug-11","Charged Off","","debt_consolidation","debt consolidation credit","IL",6.49,14,21586,29.1,37,21942,12082,7448,0,2412,116,"Jul-14",575,2014-07-01,2011-08-01,"2014","2011",35,25,12918,12488
"9053",855995,1068300,31200,31200,60,17.99,792,"E","E1","roselle board of education","2","rent",92000,"verified","Sep-11","Charged Off","","debt_consolidation","debt consolidation","NJ",13.43,10,19381,66.4,31,8615,1185,5695,0,1734,17,"Jun-13",215,2013-06-01,2011-09-01,"2013","2011",21,39,30015,38124
"9094",837067,1047171,1600,1600,36,10.59,52,"B","B2","hot topic","3","rent",12000,"not verified","Aug-11","Charged Off","","debt_consolidation","bills","CA",3.6,3,1039,43.3,4,1691,1393,269,0,28,0,"May-14",52,2014-05-01,2011-08-01,"2014","2011",33,3,207,182
"9111",855019,1067313,15000,15000,36,5.99,456,"A","A2","minneapolis multi housing agency","<1","mortgage",54000,"not verified","Aug-11","Charged Off","I need this loan of $15,000 for lawyer fees.  I tried to refinance the house which I am keeping but there was not enough equity.  I would like to avoid the trial, which is scheduled for September 5","debt_consolidation","debt consolidation","MN",1.11,7,386,1.3,52,4193,2827,667,0,700,7,"Jul-12",100,2012-07-01,2011-08-01,"2012","2011",11,25,12173,12275
"9121",854888,1067174,20500,20500,60,15.99,498,"D","D2","us army","10+","mortgage",73200,"verified","Aug-11","Charged Off","","debt_consolidation","debt consolidation","VA",18.69,9,17939,93.4,31,23790,13653,8914,25,1198,216,"Aug-15",500,2015-08-01,2011-08-01,"2015","2011",48,12,6847,6254
"9122",854864,1067145,3000,3000,60,16.89,74,"D","D4","amc inc","4","rent",33804,"not verified","Aug-11","Charged Off","","other","other","MO",16.68,6,2214,82,15,1250,529,579,0,142,1,"Dec-12",74,2012-12-01,2011-08-01,"2012","2011",16,44,2471,3202
"9128",854486,1066735,8000,8000,36,10.59,260,"B","B2","industrial resin recycling","<1","rent",26400,"source verified","Sep-11","Charged Off","  Borrower added on 08/20/11 > I want to use this loan to consolidate my other bills into one easy monthly payment.  I have a steady fulltime job so payback will not be a problem.<br/>","debt_consolidation","my off many bills for one bill loan","MI",16.41,13,11672,34.5,27,2198,1360,457,0,381,4,"Apr-12",260,2012-04-01,2011-09-01,"2012","2011",7,29,6640,7188
"9135",813185,1020614,21000,14525,60,10.99,316,"B","B3","abq health partners, llc","4","rent",92000,"verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > Consolidating one last chunk of high interest revolving credit to this loan, clearing out the remainder of my debt and starting to save for home and family.<br/>","debt_consolidation","debt consolidation","NM",5.97,4,23447,47.9,15,4488,2299,1477,0,712,7,"Sep-12",316,2012-09-01,2011-08-01,"2012","2011",13,47,18701,22365
"9137",836330,1046356,12000,9800,60,11.49,215,"B","B4","sears holdings corporation ","10+","mortgage",45000,"not verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > We are living within our means and not overextending our credit. We have good credit scores and want to keep it that way. One easy, monthly payment will keep us living within our means and continue to sustain a good credit score. These funds are specifically to pay off high APR credit cards and ensure that our current credit obligation is paid within 5 years.<br/>null Borrower added on 08/26/11 > Just as a note:  All current credit cards will be put aside until the current credit obligation is paid so as to not incur additional credit card balances.  Our goal is to maintain the good credit score that we earned by keeping our obligations.<br/>","credit_card","credit card","CA",3.87,8,5264,30.8,14,3890,2075,1372,0,443,4,"Feb-13",29,2013-02-01,2011-08-01,"2013","2011",18,42,9925,11653
"9147",854481,1066730,8500,8500,36,5.42,256,"A","A1","berkshire healthcare systems","10+","mortgage",60000,"not verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > My daughter is getting married next year and need to start getting things in order. This money will help to pay off credit debt so that I can concentrate on the wedding expenses.  I have paid off one loan of 12,000.00 dollars and have 638.00 to pay off on another account to the Lending Club for the past 3 years. I am truly greatful for all of the lenders support and hope to get another loan.<br/>null","wedding","wedding","MA",25.88,14,14043,23,27,1793,1545,248,0,0,0,"Apr-12",256,2012-04-01,2011-08-01,"2012","2011",8,28,6955,7420
"9149",850595,1062436,5000,5000,36,15.23,174,"C","C5","e-gain technologies","2","rent",65000,"source verified","Aug-11","Charged Off","","small_business","my business loan","CA",22.87,14,35767,71.1,31,360,206,139,15,0,0,"Dec-11",15,2011-12-01,2011-08-01,"2011","2011",4,32,4794,5856
"9152",854379,1066621,10000,10000,36,13.99,342,"C","C3","westower","<1","rent",84996,"not verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > DEBT CONSOLIDATION FOR LOWER INTEREST THAN ONE MAIN FINANCIAL<br/>","debt_consolidation","consolidation 2011","OR",8.44,8,1928,23,42,5612,915,450,0,4248,306,"Jan-12",342,2012-01-01,2011-08-01,"2012","2011",5,31,9085,6633
"9158",854297,1066534,18825,18825,60,17.49,473,"D","D5","cope","6","mortgage",65000,"verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > CC debt 14000 with interest rates at 23% and CC company's won't work with me, new refrigerator<br/>","debt_consolidation","debt","FL",11.91,7,13311,79.7,43,13667,5915,5905,0,1846,18,"Nov-13",38,2013-11-01,2011-08-01,"2013","2011",27,33,12910,14522
"9164",854240,1066474,3000,3000,36,16.89,107,"D","D4","deloitte consulting","5","rent",60000,"not verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > Major dental work needed<br/> Borrower added on 08/16/11 > Major dental work required...very costly<br/>","medical","medical expenses","NY",2.54,3,0,0,10,2412,1678,658,0,76,1,"Jun-13",107,2013-06-01,2011-08-01,"2013","2011",22,14,1322,1394
"9166",854208,1066441,35000,22000,60,21.36,600,"F","F4","john. j. kirlin, llc","3","rent",120000,"source verified","Aug-11","Charged Off","","debt_consolidation","debt consolidation","MD",18.63,9,28535,49.5,22,9464,3272,5116,0,1076,10,"Nov-12",600,2012-11-01,2011-08-01,"2012","2011",15,45,31728,45319
"9167",852787,1064904,8300,8300,36,8.49,262,"A","A5","mercantil commercebank","5","own",50000,"not verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > This loan is to pay off my debt<br/> Borrower added on 08/16/11 > I am very responsible and will be paying off the loan before it expires<br/> Borrower added on 08/16/11 > will pay loan<br/>","debt_consolidation","debt consolidation loan","FL",2.88,9,3580,41.6,16,879,407,116,0,356,3,"Nov-11",262,2011-11-01,2011-08-01,"2011","2011",3,33,7893,8521
"9178",853896,1066088,8000,8000,36,10.59,260,"B","B2","geico","8","mortgage",50000,"verified","Aug-11","Charged Off","  Borrower added on 08/17/11 > This loan will be used to finance my wedding in September. Unexpected medical expenses/auto repairs caused me to become significantly short of my planned budget for the wedding. <br/><br/>I have a great job (8 years) that provides steady income and an annual profit sharing bonus which would allow me to more easily pay off the loan.<br/><br/>Please feel free to ask any questions.<br/>null","wedding","september wedding","AZ",7.87,7,36285,84.4,20,6429,4799,1169,0,461,11,"Aug-13",260,2013-08-01,2011-08-01,"2013","2011",24,12,3201,2923
"9181",853738,1065924,20950,17200,60,21.36,469,"F","F4","gaf","5","mortgage",77000,"verified","Aug-11","Charged Off","","debt_consolidation","a new  start","NJ",19.92,28,27896,55,61,1695,328,608,0,759,7,"Nov-11",469,2011-11-01,2011-08-01,"2011","2011",3,57,20622,32244
"9183",853829,1066022,11400,11400,36,17.99,412,"E","E1","at&t","4","mortgage",55000,"verified","Aug-11","Charged Off","  Borrower added on 08/16/11 > We have been in business for 7 years and need to expand. We are currently working with retail stores to place our products in. We need the capital to get licensed for certain NCAA schools as well as the inventory to sell in the retail stores. We already have blanket orders but not the capital to order the inventory. Not only do I run this company but I also have a full time job. I will not default on this loan.","small_business","licensing and inventory","IL",2.27,3,2905,15.6,5,7393,4623,2371,0,400,4,"Feb-13",412,2013-02-01,2011-08-01,"2013","2011",18,18,6777,7376
"9185",853784,1065972,4500,4500,36,10.99,147,"B","B3","air force","10+","rent",66000,"source verified","Aug-11","Charged Off","  Borrower added on 08/19/11 > payoff backed up house bills due to personal problems. want to get back on track without having it hurt my credit<br/>null","debt_consolidation","blue skies","OK",23.95,6,11722,87.5,10,1382,873,301,0,208,2,"May-12",147,2012-05-01,2011-08-01,"2012","2011",9,27,3627,3896
"9189",853726,1065912,7000,7000,36,11.99,232,"B","B5","rutledge kain enterprises","<1","rent",34800,"source verified","Aug-11","Charged Off","  Borrower added on 08/18/11 > Thank you for the loan, I will not disappoint you!<br/> Borrower added on 08/22/11 > With this loan I will pay off my auto loan and reduce my monthly debt by $250. I will have no trouble paying you back. Thank you!<br/>","debt_consolidation","first","CA",21.21,3,9175,70,11,6349,4797,1246,0,306,3,"Nov-13",232,2013-11-01,2011-08-01,"2013","2011",27,9,2203,2007
"9197",848559,1060176,16400,16400,60,22.48,457,"G","G2","okonite","1","rent",37000,"source verified","Aug-11","Charged Off","","debt_consolidation","debt consolidation","SC",8.17,3,3164,87.9,9,1846,613,1210,23,0,0,"Jan-12",938,2012-01-01,2011-08-01,"2012","2011",5,55,15787,25410
"9202",853571,1065744,13500,9325,60,11.99,207,"B","B5","la stalla","2","mortgage",36000,"source verified","Aug-11","Charged Off","  Borrower added on 08/25/11 > Money to be used to payoff credit cards due to interest rate increase.<br/>All my payments always on time or early.<br/>","debt_consolidation","freedom","AZ",20.57,14,7845,26.5,23,9955,6981,2957,0,17,3,"Sep-15",207,2015-09-01,2011-08-01,"2015","2011",49,11,6519,6902
"9207",853474,1065648,4800,4800,36,11.99,159,"B","B5","vca pets are people too","1","own",27000,"source verified","Aug-11","Charged Off","","home_improvement","my home","GA",9.78,4,8555,75,13,325,111,48,0,166,0,"Oct-11",159,2011-10-01,2011-08-01,"2011","2011",2,34,4689,5376
"9212",853406,1065574,30000,30000,60,13.99,698,"C","C3","department of defense/us navy","10+","own",103000,"verified","Aug-11","Charged Off","Small Business Loan: I have very stable employment with over 29 years and current with my employer. I will use this loan to help my small business successfully launch production of our one of a kind charter product. The launch of our product is anticipated to create over fifty manufacturing jobs within six months. I have sufficient re-ocurring income to service all my obligations inclusive of this loan. Further supporting my independent ability to meet all obligations, my small bussiness has provided to me sufficient financial note fully covering all my liabilities. There is a large probability that the entire loan will paid in full by January 2012. I thank the Lending Club in advance for being able to provide a potential means of financing for my small business.","small_business","small business loan","FL",8.92,10,93178,40.6,27,27188,15457,9656,0,2075,21,"Sep-14",698,2014-09-01,2011-08-01,"2014","2011",37,23,14543,14600
"9244",852973,1065114,14000,14000,36,10.59,456,"B","B2","emc","6","mortgage",90000,"source verified","Aug-11","Charged Off","  Borrower added on 08/15/11 > I would like to pay off my high interest credit cards with the funds from this loan.<br/>","debt_consolidation","cc payoff","RI",14.68,10,7412,87.2,35,9112,7220,1881,0,10,0,"May-13",456,2013-05-01,2011-08-01,"2013","2011",21,15,6780,7265
"9246",852879,1065011,1000,1000,36,17.99,36,"E","E1","stream global services","1","rent",24000,"verified","Aug-11","Charged Off","","debt_consolidation","my loan","OR",12.65,7,3049,98.4,9,159,86,58,15,0,0,"Jan-12",87,2012-01-01,2011-08-01,"2012","2011",5,31,914,1147
"9249",852898,1065031,12500,12500,60,14.79,296,"C","C4","rizza ford/kia","2","mortgage",80000,"source verified","Aug-11","Charged Off","","credit_card","first goal","IL",13.42,7,6863,74.6,14,7051,3555,2944,0,552,9,"Jul-13",296,2013-07-01,2011-08-01,"2013","2011",23,37,8945,10659
"9254",852809,1064929,33500,21200,60,21.74,582,"F","F5","missing","10+","rent",3e+05,"source verified","Aug-11","Charged Off","  Borrower added on 08/15/11 > Debt consolidation and business growth.<br/> Borrower added on 08/15/11 > Debt consolidation and business growth<br/>","debt_consolidation","debt consolidation loan","NY",2.77,2,657,13.1,14,3078,605,2444,29,0,0,"Sep-12",152,2012-09-01,2011-08-01,"2012","2011",13,47,32895,49162
"9257",852703,1064814,4800,4800,60,22.11,133,"G","G1","sam's club","3","rent",65000,"source verified","Aug-11","Charged Off","","small_business","buying into an existing business","NC",12.42,25,4604,43.4,39,5392,2412,2630,0,351,63,"Nov-14",133,2014-11-01,2011-08-01,"2014","2011",39,21,2388,2547
"9263",852632,1064738,6500,6500,36,15.99,228,"D","D2","fairfax couty","3","mortgage",54000,"verified","Aug-11","Charged Off","","debt_consolidation","debt ","VA",20.2,16,7871,44.2,19,3884,2503,1140,0,241,2,"Jan-13",228,2013-01-01,2011-08-01,"2013","2011",17,19,3997,4319
"9280",851770,1063736,6000,6000,36,16.49,212,"D","D3","new york-new york hotel & casino","2","rent",18835,"not verified","Aug-11","Charged Off","  Borrower added on 08/15/11 > to buy equiptments for home made pastries<br/>","small_business","business","NV",14.46,7,5553,59.1,8,3604,2465,1139,0,0,0,"Feb-13",212,2013-02-01,2011-08-01,"2013","2011",18,18,3535,4014
"9293",852134,1064156,7500,7500,36,16.89,267,"D","D4","summerlin hospital medical center","2","rent",91500,"verified","Aug-11","Charged Off","  Borrower added on 08/14/11 > I tried this in December and it worked well for me so now that I received another offer, I decided I should  get rid of my last 2 high interest credit cards debt by having one loan and one payment with an end in sight<br/> Borrower added on 08/14/11 > I am a current member trying to get rid of my last 2 high interest credit cards with one payment and an end in sight<br/>null","credit_card","last high interest credit cards","NV",19.36,9,14705,98.7,22,596,160,105,0,331,3,"Oct-11",267,2011-10-01,2011-08-01,"2011","2011",2,34,7340,8951
"9314",844621,1055628,4000,4000,36,11.49,132,"B","B4","advantage sales  and  marketing","1","rent",51000,"not verified","Aug-11","Charged Off","  Borrower added on 08/13/11 > I am looking to get a loan so I can have a solid savings account in case of emergency in lieu of using a credit card. I am also considering moving and would use it for first &amp; last months rent and/or refundable deposit.  I moved to LA in May 2010 and have held my current job since Aug 2010. I have a good credit score, credit history, and consistently pay my bills on time.<br/>","other","personal loan","CA",21.44,13,15896,56.8,28,1576,1179,397,0,0,0,"Aug-12",132,2012-08-01,2011-08-01,"2012","2011",12,24,2821,3168
"9319",851498,1063428,9600,9600,36,20.62,360,"F","F2","furniture outlets usa","2","rent",60000,"not verified","Aug-11","Charged Off","  Borrower added on 08/15/11 > Funding is for a family member and as an investment is a safe bet! Will be paid on time and in full. Funds are there so this is a win win. Just wana thank you ahead time for your trust and time.<br/>Thanks<br/>","medical","medical family","MN",11.04,6,21949,99.3,7,782,194,165,0,423,4,"Oct-11",360,2011-10-01,2011-08-01,"2011","2011",2,34,9406,12089
"9323",851222,1063125,2250,2250,36,6.99,69,"A","A3","precision printing","7","rent",48000,"not verified","Aug-11","Charged Off","  Borrower added on 08/14/11 > I try to keep my monthly budget around $1800. I'm trying to be more responsible and cut back on my spending. This loan would allow me to stop paying the various fees and cost of high interest that I have been paying with credit cards.<br/><br/>I appreciate any help I receive. Thank you all for your time and this opportunity to help organize my life.<br/><br/>After spending all day reading about p2p lending. I want to clarify that when I stated, credit card consolidation. I meant that I have $880 on one w/25.99% intrest and the other w/$1370 and 21.99%. Therefore, 6.99% was a pretty appealing interest rate. Please feel free to send any questions...thanks!  I appreciate everyones help!<br/>","debt_consolidation","no more cards","NC",13.2,6,6285,57.1,10,1896,1573,228,0,94,1,"Nov-13",69,2013-11-01,2011-08-01,"2013","2011",27,9,677,599
"9331",851180,1063081,4000,4000,36,9.99,129,"B","B1","at&t","3","mortgage",40000,"source verified","Aug-11","Charged Off","  Borrower added on 08/13/11 > Need funds to pay off credit cards, not late on them just got a little backed up and just need help paying them off. Very dedicated, dependable, hard worker.<br/>","debt_consolidation","debt consolidation for credit cards","MI",18.6,10,10998,33.1,14,3978,3233,621,0,124,1,"Mar-14",129,2014-03-01,2011-08-01,"2014","2011",31,5,767,661
"9334",838602,1048698,22750,22750,60,15.62,549,"D","D1","us army","8","rent",30000,"verified","Aug-11","Charged Off","  Borrower added on 08/15/11 > The funds are gonna be used for the start up costs of a business im starting. Licensing, insurance, etc<br/>null","small_business","small business loan","NJ",16.52,9,1299,3.6,29,19892,10315,7769,0,1808,18,"Jun-14",549,2014-06-01,2011-08-01,"2014","2011",34,26,12435,12934
"9356",850116,1061904,2500,2500,36,7.49,78,"A","A4","peace security","1","rent",32004,"not verified","Aug-11","Charged Off","","other","pay credit cards","NY",21.6,8,5081,21.7,33,880,636,138,0,106,1,"Jul-12",78,2012-07-01,2011-08-01,"2012","2011",11,25,1864,1919
"9358",850713,1062556,35000,35000,60,20.25,932,"F","F1","central intelligence agency","10+","rent",92000,"verified","Aug-11","Charged Off","Lord Please Help.","other","other loan","DC",17.6,11,9558,85.5,20,5444,1041,2452,0,1951,19,"May-12",350,2012-05-01,2011-08-01,"2012","2011",9,51,33959,48947
"9359",850711,1027955,35000,35000,36,7.49,1089,"A","A4","truecar","<1","mortgage",150000,"verified","Aug-11","Charged Off","","debt_consolidation","getting a better loan rate","CA",13.62,10,3710,6.6,22,3673,1745,431,0,1497,15,"Nov-11",1089,2011-11-01,2011-08-01,"2011","2011",3,33,33255,35397
"9365",850652,1062497,4200,4200,36,10.99,137,"B","B3","ritchies meat distributor","10+","mortgage",32400,"not verified","Aug-11","Charged Off","  Borrower added on 08/13/11 > My dad was kind enough to loan us money when we needed it, I would like to repay him, as well as payoff some high interest credit card debt.<br/>","other","debt restructure","OH",16.85,4,6447,75,8,2894,2490,404,0,0,0,"Oct-12",1800,2012-10-01,2011-08-01,"2012","2011",14,22,1710,1892
"9383",849154,1060851,6000,6000,36,17.49,215,"D","D5","a. morton thomas and associates","8","rent",53000,"not verified","Aug-11","Charged Off","","moving","moving","MD",1.58,3,2426,89.9,9,6078,4177,1616,0,284,3,"Dec-13",215,2013-12-01,2011-08-01,"2013","2011",28,8,1823,1660
"9388",850331,1062145,18800,18800,60,19.69,495,"E","E5","pine bluff arsenal","8","own",50000,"verified","Aug-11","Charged Off","  Borrower added on 08/12/11 > Home Improvement to complete exterior and interior projects<br/>","home_improvement","home improvement","AR",12.98,7,10890,83.1,11,16404,6861,7870,0,1673,17,"Apr-14",877,2014-04-01,2011-08-01,"2014","2011",32,28,11939,13307
"9397",850158,1061953,22000,22000,60,18.39,563,"E","E2","manolo blahnik","8","rent",65000,"verified","Aug-11","Charged Off","  Borrower added on 08/15/11 > This loan is for a debt consolidation.  I am Currently paying about $700 a month in payments. I would like to pay everything off and just be able pay one lender.  I have a good payment history, as well as a good employment history.<br/>null Borrower added on 08/21/11 > I have been at my current Job for 8 years.  I pay all my bills on time. I Have not been late on payments in over 10 Years.  Again, this loan is to consolidate all my bills into one and lower my interest on my credit cards.  Hopefully, with your help I can get funded 100 percent and be able to pay of all my debts.<br/>","debt_consolidation","debt consolidation","NJ",15.53,5,3970,79.4,7,20841,11149,9692,0,0,0,"Oct-14",563,2014-10-01,2011-08-01,"2014","2011",38,22,10851,12870
"9398",850126,1061914,4200,4200,36,10.99,137,"B","B3","illinois appellate court","2","rent",60000,"source verified","Aug-11","Charged Off","  Borrower added on 08/12/11 > I'm a recent law school grad who had to put more on my credit cards than I would've liked while in school.  I'm now gainfully employed and would like to pay them all off in one fell swoop.  Repayment will not be an issue.<br/>","debt_consolidation","paying off my credit cards","IL",16.2,11,5070,20.9,14,3515,2630,652,0,233,8,"Aug-13",137,2013-08-01,2011-08-01,"2013","2011",24,12,1570,1435
"9400",850106,1061893,1325,1325,36,13.49,45,"C","C2","ppi technology services","<1","rent",24000,"source verified","Aug-11","Charged Off","  Borrower added on 08/12/11 > I am trying to relocate my family closer to my work to save money.<br/> Borrower added on 08/12/11 > I am paying for the rent and moving truck, i am paying the deposit, utilities, etc out of pocket. Thanks<br/>","moving","relocation","LA",3.8,3,2158,11.9,3,1477,1146,288,15,28,0,"May-14",45,2014-05-01,2011-08-01,"2014","2011",33,3,179,155
"9406",849996,1061773,6000,6000,36,10.59,195,"B","B2","wiregrass technical college","2","rent",28000,"not verified","Aug-11","Charged Off","  Borrower added on 08/12/11 > unforseen medical expenses<br/> Borrower added on 08/12/11 > unforseen medical expenses<br/> Borrower added on 08/16/11 > I have a stable job, I pay my bills, I need a cash or credit to pay upfront medical cost for procedure and to consolidate the ones I already have. A loan with this payment is well within my means. Thank you.<br/>","medical","medical","GA",4.07,5,4381,33.2,17,2957,2103,621,0,233,2,"Nov-12",195,2012-11-01,2011-08-01,"2012","2011",15,21,3897,4051
"9418",849761,1061500,4000,4000,60,16.89,99,"D","D4","northern neck regional special education program","<1","rent",35832,"source verified","Aug-11","Charged Off","  Borrower added on 08/11/11 > Moving Expenses<br/> Borrower added on 08/11/11 > This loan is for moving expenses from PA to VA<br/>null","other","moving expenses","PA",4.02,17,895,89.5,19,3259,174,219,0,2866,708,"Dec-11",99,2011-12-01,2011-08-01,"2011","2011",4,56,3826,2678
